COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,
MLFUNC,It won't turn on..... the last time I had it one it was just frozen,1.02E+11,Sprint,03-APR-17 01.54.23.281000000 PM,
MLFUNC,It just stop working correctly. Shows its fully charged then all of a sudden it turns off and when you go to turn it on it has no battery. Also blinks when charging only noticeable when in dark room.,1.08E+11,Sprint,03-APR-17 08.41.31.779000000 AM,
MLFUNC,fully charged unplug use for few then turns off when you turn back on states no battery then blinks when on charger only noticeable in dark room,1.08E+11,Sprint,03-APR-17 09.01.50.514000000 AM,
MLFUNC,"the screen does not light, I've tried rebooting it and connecting it to power, but nothing seems to work.",112807667,Sprint,03-MAR-17 08.12.47.000000000 AM,
MLFUNC,video is very slow and lags calls don't always come through,1.01E+11,Sprint,03-MAY-17 09.51.43.277000000 PM,
MLFUNC,"Charging port does not work properly and when I do get to charge my phone, charge does not hold. Phone freezes and speaker audio does not work properly. Speaker audio does not work and when navigating through app, phone freezes.",1.01E+11,Sprint,03-MAY-17 10.11.31.294000000 PM,
MLFUNC,Phone will not charge or power on,1.07E+11,Sprint,03-MAY-17 10.35.50.197000000 PM,
MLFUNC,I was asleep on the couch and my phone was beside me and I woke up to check my phone and the screen was lagging and there were lines in the screen it was hesitant,1.04E+11,Sprint,03-MAY-17 11.10.42.233000000 PM,
MLFUNC,"For some reason the phone won't turn on. I've even tried plugging it in directly to the wall, but it will not boot. Resetting did not work either.",112814902,Sprint,03-MAY-17 11.11.36.035000000 PM,
MLFUNC,I had my device in my pocket I took a fall and I landed where my device was at the time and the whole back of my device is cracked. Nothing happen to the front because I had my phone protector.,1.09E+11,Sprint,03-MAY-17 11.26.21.605000000 PM,
MLFUNC,display not functioning,1.10E+11,Sprint,04-MAY-17 01.01.47.038000000 AM,
MLFUNC,"will not power on, will not stay on",1.02E+11,Sprint,04-MAY-17 01.08.09.258000000 AM,
MLFUNC,The screen is black. phone is on but can't see anything.,1.02E+11,Sprint,04-MAY-17 01.16.08.388000000 AM,
MLFUNC,it does not want to charge and the battery gets very hot and dies quickly. Freezes alot,111690227,Sprint,04-MAY-17 01.27.44.105000000 PM,
MLFUNC,"Phone started getting extremely hot and could not charge fast enough to stay on , it wont turn on or charge at all now. Software issue, I'm assuming.",1.03E+11,Sprint,04-MAY-17 01.29.17.934000000 PM,
MLFUNC,phone started acting up. and getting a blank screen. having trouble staying on. The phone just lags.,1.01E+11,Sprint,04-MAY-17 01.33.27.437000000 AM,
MLFUNC,IT TURNS OFF BY ITSELF,1.07E+11,Sprint,04-MAY-17 01.34.36.251000000 AM,
MLFUNC,"i have no service, it just says searching tried everything. Will not connect to wifi either. Must be a problem with the network chip.",113235358,Sprint,04-MAY-17 02.10.06.000000000 PM,
MLFUNC,The phone has been malfunctioning out of no where for the past week or two.,1.07E+11,Sprint,04-MAY-17 02.16.07.156000000 AM,
MLFUNC,The phone has been malfunctioning out of no where for the past week or two.,1.07E+11,Sprint,04-MAY-17 02.16.42.196000000 AM,
MLFUNC,The screen just flashes blue at the top part of the screen. I cannot turn the phone on/off.,1.03E+11,Sprint,04-MAY-17 02.34.59.632000000 PM,
MLFUNC,The phone will not turn on,1.03E+11,Sprint,04-MAY-17 02.45.13.689000000 PM,
MLFUNC,Screen went blank,1.05E+11,Sprint,04-MAY-17 03.04.53.728000000 PM,
MLFUNC,When I had woken up in the morning my phone screen was completely black and it looks like it just wasn't connecting like there's a wire loose in the back or something I could still kind of see and my home screen but I couldn't touch anything or answer any phone calls.,1.07E+11,Sprint,04-MAY-17 03.14.38.747000000 PM,
MLFUNC,Product was replaced in store with a Verizon model 6s through equipment replacement and it hasn't been working properly. Battery life is under 4 hours from full charge to dead and it has multiple cellular data issues that have not been resolved with multiple calls to service.,1.10E+11,Sprint,04-MAY-17 03.24.02.380000000 PM,
MLFUNC,At work at about 1:00 this afternoon I sat the phone on the counter top and it fell off the counter and hit the floor when I reached down to pick it the screen was doing weird things with the colors and would not and still won't let me answer a call or make a call and it won't let me power it off or anything! So at 3:15 I took it to a sprint store and the lady told me that the phone can't be fixed because it's the LCD light so she told me to make a claim.,1.03E+11,Sprint,04-MAY-17 03.55.29.450000000 AM,
MLFUNC,blank screen when I tried to view the device,1.02E+11,Sprint,04-MAY-17 04.00.11.478000000 AM,
MLFUNC,Phone locked and can't access anything,1.04E+11,Sprint,04-MAY-17 04.48.32.737000000 PM,
MLFUNC,The screen is black,1.07E+11,Sprint,04-MAY-17 05.04.05.500000000 AM,
MLFUNC,The Lg G4 turned off after a software update and will not turn back on. It continues to power cycle repeatedly.,1.05E+11,Sprint,04-MAY-17 05.23.20.342000000 PM,
MLFUNC,My phone won't turn on.,1.01E+11,Sprint,04-MAY-17 05.24.06.869000000 PM,
MLFUNC,The phone will not turn on. I have tried resetting and doing a hard reset.,1.00E+11,Sprint,04-MAY-17 05.45.33.714000000 PM,
MLFUNC,And tried to turn it on in all possible ways and does not turn on the mobile device,1.04E+11,Sprint,04-MAY-17 05.53.23.346000000 PM,
MLFUNC,"When receiving calls, callers are unable to hear my voice. I took the phone to my local sprint store and the technicians said they were unable to fix the issue and that I should file a claim for a replacement phone.",1.09E+11,Sprint,04-MAY-17 05.56.09.221000000 PM,
MLFUNC,Speakers are really low,1.08E+11,Sprint,04-MAY-17 06.05.27.739000000 PM,
MLFUNC,"Haven't even had the device for 8 months of my ""free"" tablet, now the touchscreen is unresponsive and device is unusable essentially.",1.01E+11,Sprint,04-MAY-17 06.28.08.140000000 PM,
MLFUNC,Keeps blanking out. Texts not coming in. No physical damage,1.03E+11,Sprint,04-MAY-17 06.56.05.856000000 PM,
MLFUNC,"The camera will not work at all, and my flash light does not work either!",1.09E+11,Sprint,04-MAY-17 07.03.13.949000000 PM,
MLFUNC,The phone is restarting again and again. I can't make it stop. Eventually powered down but it will not fully turn on.,1.00E+11,Sprint,04-MAY-17 07.04.36.934000000 PM,
MLFUNC,I was wiping off the phone to remove fingerprints and the screen messed up. All it will do is flash. I can still receive calls but with out the scree not much else.,1.05E+11,Sprint,04-MAY-17 07.28.10.751000000 PM,
MLFUNC,Back camera is broken as told by Sprint Representative in store on 5/3/2017,1.09E+11,Sprint,04-MAY-17 07.41.46.433000000 PM,
MLFUNC,Charging port not fitting into charging cable. Also phone difficult to turn on with button,1.07E+11,Sprint,04-MAY-17 07.44.12.418000000 PM,
MLFUNC,will not power on,1.06E+11,Sprint,04-MAY-17 07.50.31.820000000 PM,
MLFUNC,"My microphone randomly started messing up while I was on a FaceTime call. Mic will record fine when videos are recorded, but when I'm on FaceTime or a regular call, others can't hear me. I checked connectivity / signal issues & have LTE.",1.06E+11,Sprint,04-MAY-17 08.46.37.724000000 PM,
MLFUNC,phone turned off all the sudden. Refuses to charge or turn back on,1.01E+11,Sprint,04-MAY-17 09.00.43.048000000 PM,
MLFUNC,"Since I bought the phone it doesnt work with my apps, I dont get internet even when I am connected to wifi, it constantly tells me my phone can not establish a connection, and that I lost internet. Also will not receive calls or texts and vise versa.",1.08E+11,Sprint,04-MAY-17 09.26.38.846000000 PM,
MLFUNC,won't stay on the lights won't stay on,1.09E+11,Sprint,04-MAY-17 09.33.39.951000000 PM,
MLFUNC,"Hard to hear on any body when listening, have to use speaker, while everbody listening to my conversation",1.09E+11,Sprint,04-MAY-17 09.47.55.412000000 AM,
MLFUNC,"Phone fall off my holster and hit the ground, screen is intacted but camera is not working and there are some issue with screen",1.08E+11,Sprint,04-MAY-17 09.52.13.885000000 PM,
MLFUNC,woke up phones screen was pixelated. Its blury and wont focus on certain parts of the screen.,113233661,Sprint,04-MAY-17 10.09.14.000000000 AM,
MLFUNC,The phone is froze when turned on won't go to home screen..,1.06E+11,Sprint,04-MAY-17 10.25.30.387000000 PM,
MLFUNC,The phone is froze when turned on won't go to home screen..,1.06E+11,Sprint,04-MAY-17 10.27.16.379000000 PM,
MLFUNC,Fuzzy screen comes & goes. Sometimes it cuts off with a full battery then it continually tries to come on. It does this while charging & when not charging & With multiple batteries. Never know when it will turn off or on.,1.02E+11,Sprint,04-MAY-17 11.05.28.158000000 PM,
MLFUNC,wont power on,1.01E+11,Sprint,04-MAY-17 11.13.53.928000000 PM,
MLFUNC,Took it to sprint store and technician stated that the phone is bent,1.08E+11,Sprint,04-MAY-17 11.39.11.338000000 AM,
MLFUNC,purple stripe down right hand side of the screen never goes away,113234346,Sprint,04-MAY-17 11.52.01.000000000 AM,
MLFUNC,"Charge port damaged. Its not the charge cable. No matter which cable I use, this happens.",1.00E+11,Sprint,04-MAY-17 11.54.03.955000000 PM,
MLFUNC,speaker phone and microphone stopped working.,113238785,Sprint,04-MAY-17 11.57.06.000000000 PM,
MLFUNC,My phone just not turn on,1.02E+11,Sprint,04-MAY-17 11.59.36.616000000 PM,
