COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE,Unnamed: 5
STOLEN,Had at school in her looker someone broke in her locker and stole it,1.05E+11,Sprint,14-APR-17 01.29.08.252000000 PM,
LQDDMG,"it just started to shut off and the screen turned black. Also, there is a small purple light at the right corner of the phone.",1E767FFD3C310B70B871005056876829,1.03E+11,Sprint,
CRCKSCRN,Dropped on the ground,1.04E+11,Sprint,05-MAY-17 09.39.34.238000000 PM,
MLFUNC,"took phone out of purse,turned it on and saw the screen changing colors from green blue purple as if it was a filter. but the screen keeps getting darker and harder to see. i am able to make calls and receive calls. i can also send text msgs, it just gets a little hard to distinguish what the msg says some times.",1.07E+11,Sprint,09-JUN-17 12.51.44.775000000 AM,
CRCKSCRN,Dropped my phone and phone screen cracked. Prior to dropping phone my screen would go blank or the color would go out and I would have to push the screen in to gain sight again.,1.05E+11,Sprint,11-JUN-17 09.36.28.040000000 PM,
LOST/UNREC,WHILE I WAS THE ROAD TO AERO PUERTO FORGOT MY PHONE,1.07E+11,Sprint,16-JUN-17 03.50.22.320000000 PM,
LOST/UNREC,i lost my phone in the taxy,1.05E+11,Sprint,17-MAY-17 07.27.17.085000000 AM,
LOST/UNREC,I lost my phone in the club,1.07E+11,Sprint,23-JUN-17 09.44.07.564000000 PM,
LOST/UNREC,I lost phone in the beach,1.04E+11,Sprint,04-MAY-17 03.09.17.353000000 PM,
STOLEN,Someone stole it from the park when I wss watching my kids.,110589092,Sprint,16-APR-17 05.55.22.643000000 PM,
LOST/UNREC,Lost,1.09E+11,Sprint,09-JUN-17 05.24.19.292000000 AM,
LOST/UNREC,Left my bag on the bus which contained my phone.,111125954,Sprint,09-JUN-17 11.45.44.401000000 PM,
LQDDMG,It fell in the toilet.,1.05E+11,Sprint,07-MAY-17 08.54.57.249000000 PM,
CRCKSCRN,fell going down steps with crutches have lupus,113260980,Sprint,09-MAY-17 09.21.39.000000000 AM,
STOLEN,My phone got stolen out of my car it was rolled halfway down,1E775D3DA09905E09022EBD90A7CE8F5,1.06E+11,Sprint,
LQDDMG,"I was ready to buy an Otter box cover, almost in the store and dropped and crack the screen and it came apart on the dew soaked grass. It works fine but the cracks on the screen are getting bigger.",522D805965675F4BE053A339030A2233,113000000,Sprint,
LOST/UNREC,It got dropped in lake lewisville,1.08E+11,Sprint,21-JUN-18 10.09.19.202000000 PM,
CRCKSCRN,"Screen is cracked, bottom half of touch screen does not work. needs to be replaced.",1.06E+11,Sprint,06-MAY-17 12.17.04.747000000 AM,
STOLEN,my phone was stolen in the restaurant where I was eating please I need my phone as soon as possible,1E7681CFE6640E20BA6ACD1C2659ADFA,1.01E+11,Sprint,
LOST/UNREC,I lost in thes mall in gym,1.02E+11,Sprint,06-JUN-17 01.17.40.292000000 PM,
LOST/UNREC,The line holder for this device has been incarcerated and I am unable to retrieve my device back,1.01E+11,Sprint,16-MAY-17 01.40.29.756000000 AM,
MLFUNC,"Speakers have ceased to work. Also, the screen will often be blank (black) and I will have to click the button 10-20 times to get the screen to flash to life.",1E780548D6FE0BE09D8B552A0CBC75AE,1.05E+11,Sprint,
CRCKSCRN,Dropped phone screen went out,1.06E+11,Sprint,05-MAY-17 10.26.15.148000000 PM,
CRCKSCRN,"Phone fell out pocket and hit sharp gravel, cracking the screen and rendering it useless/blank",1.05E+11,Sprint,16-APR-17 03.57.17.426000000 AM,
LQDDMG,The phone was dropped into the toilet by accident and now will not turn on or charge.,1.03E+11,Sprint,16-APR-17 02.22.36.123000000 AM,
CRCKSCRN,The phone was dropped.,1.01E+11,Sprint,04-MAY-17 02.24.17.875000000 PM,
CRCKSCRN,Phone dropped screen first on the concrete,1.02E+11,Sprint,06-JUN-17 11.01.15.042000000 PM,
CRCKSCRN,"dropped my phone and now the screen has weird lines on it, and it wont allow me to control the screen. Many times the screen goes crazy and acts as if I am pressing it and selecting things when in fact I am not, and it is doing it by itself.",1.09E+11,Sprint,19-APR-17 03.13.49.078000000 AM,
LQDDMG,Dropped my phone outside in a puddle of wate the screen cracked .,4F97BC8437891620E053A439030A4AA2,113000000,Sprint,
MLFUNC,"Woke up last Monday 7/31 to a blurry screen. Apps had shadows. Noticed the glass screen was coming apart from the rest of the phone at the top of the unit. Took it to the Sprint store right away and was told to make a claim, but I can't go without a phone for work. It has gotten progressively worse over the past week to the point this morning where I can't read the screen...it's just colors and lines.",1E77C30C00EC0F808AF191945196A36F,1.04E+11,Sprint,
MLFUNC,"The phone is just coming apart, it gets hot when charging and charging cord is frayed.",1.01E+11,Sprint,07-JUN-17 09.06.13.129000000 PM,
CRCKSCRN,"Dropped phone on ground, crack screen, LCD doesn't light up",1.04E+11,Sprint,08-JUN-17 11.59.04.014000000 PM,
LQDDMG,Phone not responsive,1E7AD32D967D0480A65E8764A70A9DF7,1.09E+11,Sprint,
STOLEN,my child was at school and another child took her phone out her back pack,1.02E+11,Sprint,17-APR-17 04.39.13.116000000 PM,
CRCKSCRN,I dropped my phone whil using it,1.07E+11,Sprint,11-JUN-17 06.46.27.191000000 PM,
LQDDMG,The phone was dropped and came into contact with water. Phone worked for about 8 hours after incident then screen went black and phone will not power on or charge.,1E70C4EFE16D00E0890C005056870405,112000000,Sprint,
LOST/UNREC,Had phone in my purse walking down to the park with the kids and on return from park noticed phone not in purse anymore went back to look for it but didnt find or see it then when husband got off work we retraced my steps and still couldnt find it and was almost dead as well so calling it didnt help have a felling it fell into sewer or creek next to path,1.02E+11,Sprint,10-JUN-17 01.48.45.788000000 AM,
STOLEN,i left it under my keyboard at work when going to the restroom when i went back it was gone.,113242793,Sprint,05-MAY-17 05.18.15.000000000 PM,
STOLEN,stolen in the park,1.08E+11,Sprint,24-JUN-17 12.16.38.285000000 AM,
CRCKSCRN,someone knocked phone out hand and it fell on street,111085326,Sprint,16-MAY-17 08.54.20.814000000 PM,
LQDDMG,fell in pool,1.09E+11,Sprint,25-APR-17 02.32.34.594000000 PM,
CRCKSCRN,Dropped on the flooor,112286258,Sprint,17-APR-17 06.35.35.959000000 PM,
MLFUNC,All text messages erased; not all texts can come through. All passwords erased - phone will no longer accept passwords. Phone automatically shuts off at random.,1E77AF1A0E5A01009EB865F6B4202010,1.02E+11,Sprint,
LQDDMG,It wont turn on. I took it to the repair center and they say it has water damage,1E7722B7587B0E40A14A45EFD9D5F14E,1.09E+11,Sprint,
LQDDMG,left water on the counter & put my phone on top of it . then my speaker stopped working,113136360,Sprint,17-APR-17 09.55.47.000000000 PM,
LOST/UNREC,I had my daughters phone on the outside pocket of purse and it must have fallen out. I searched the house and the car where my purse was but still unable to find. Please send me the steps to takes if it is found.,1.04E+11,Sprint,14-APR-17 03.04.07.811000000 AM,
STOLEN,"Was out with some people and while in the Club, my device was taken.",1E7671E4B51C07A08785005056873580,1.01E+11,Sprint,
STOLEN,my device was stolen today helpme please,1E789F9B18690A208056CFCDA3FA1005,1.08E+11,Sprint,
