COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE
LQDDMG,there is a pink line running down the entire screen.  when taken to the repair center they state they cannot repair it and i must file insurance claim.,113113673.0,Sprint,13-APR-17 10.09.31.000000000 PM
CRCKSCRN,dropped phone and screen shattered,105000000000.0,Sprint,06-JUN-17 12.36.45.569000000 AM
STOLEN,My phone was stolen in the park,108000000000.0,Sprint,08-JUN-17 12.00.29.339000000 PM
STOLEN,Plus 7 stolen in the hotel yesterday I did see in the camera,101000000000.0,Sprint,22-JUN-17 09.55.22.915000000 PM
LQDDMG,Dropped phone in toilet. Wont charge now,105000000000.0,Sprint,17-MAY-17 07.26.41.578000000 PM
CRCKSCRN,"phone is bent, screen cracked and missing pieces.",110000000000.0,Sprint,06-JUN-17 05.54.24.988000000 PM
STOLEN,stolen,105000000000.0,Sprint,23-JUN-17 10.53.22.392000000 PM
STOLEN,in bus,103000000000.0,Sprint,18-MAR-17 11.33.22.120000000 AM
LQDDMG,was outside of pool but water splashed out.,110000000000.0,Sprint,12-JUN-17 05.19.46.402000000 PM
LQDDMG,The phone was dropped into the toilet by accident and now will not turn on or charge.,103000000000.0,Sprint,16-APR-17 02.22.36.123000000 AM
LOST/UNREC,LOST BEACH,102000000000.0,Sprint,07-JUN-17 11.32.49.228000000 PM
CRCKSCRN,"My daughter's teacher took her phone away from her and when handing it back to her at the end of the day, the phone fell from her hand, onto the floor.",107000000000.0,Sprint,07-JUN-17 11.53.38.021000000 PM
LOST/UNREC,i lost my cell phone in the gym,102000000000.0,Sprint,06-JUN-17 12.51.14.014000000 AM
LOST/UNREC,lost my iphone in the river,103000000000.0,Sprint,06-JUN-17 05.42.09.647000000 PM
LOST/UNREC,LOST,112101278.0,Sprint,04-MAY-17 05.01.08.356000000 PM
STOLEN,"i had a party today in my home, i let the phone charging in the sofa, on my son room, i tried to track the phone in find my iphone app and it was off, however i locked and now it cant be used",103000000000.0,Sprint,23-MAY-17 03.25.24.291000000 AM
CRCKSCRN,"Home button stopped working after I dropped my phone on a hard floor. The screen slightly cracked, and people complain of me sounding ""muffled"" when I have the phone on my ear.",106000000000.0,Sprint,05-MAY-17 08.17.28.543000000 AM
CRCKSCRN,I pulled out my phone from my pocket with out the case and dropped it faced up on concrete .,102000000000.0,Sprint,04-MAY-17 01.22.14.636000000 AM
CRCKSCRN,I dropped it and it doesnt work,104000000000.0,Sprint,04-MAY-17 02.35.55.483000000 PM
CRCKSCRN,Fell,102000000000.0,Sprint,07-JUN-17 10.01.13.104000000 PM
LQDDMG,liquid damage,105000000000.0,Sprint,20-APR-17 06.27.49.888000000 PM
CRCKSCRN,It dropped and the screen is broken,112774242.0,Sprint,06-JUN-17 05.41.56.705000000 PM
CRCKSCRN,dropped it on its front screen now the screen is cracked and its black,107000000000.0,Sprint,04-MAY-17 02.21.07.974000000 AM
LOST/UNREC,lost phone at bar,106000000000.0,Sprint,06-MAY-17 02.19.29.660000000 PM
LQDDMG,It rained while I was walking and the phone got wet.,105000000000.0,Sprint,04-APR-17 09.13.27.630000000 PM
STOLEN,my phone was stolen yesterday when I was at the gym someone opened my locked and got it,109000000000.0,Sprint,07-JUN-17 10.09.34.283000000 PM
LOST/UNREC,i lost my phone at the airport,110000000000.0,Sprint,04-MAY-17 08.41.38.580000000 PM
LOST/UNREC,lost,104000000000.0,Sprint,06-JUN-17 01.37.34.465000000 AM
STOLEN,It was taken of my hands in front of my house by a young boy and ran off.,101000000000.0,Sprint,16-MAY-17 08.38.49.953000000 PM
LOST/UNREC,Was at the mall and set phone on bench beside me stood up and walked away gone less then 5 mins and phone gone. Mall security said nothing turned in.,112635440.0,Sprint,06-JUN-17 01.59.44.076000000 AM
MLFUNC,"i had it blue toothed into my stereo in the garage, it was inside the house for better wireless reception. music cut off so i figured i was getting a call, walked in and tried to turn screen on. it just flashes and spazzes out never really coming on. i can still answer calls if i get in the general area of where the button would be.",100000000000.0,Sprint,12-JUN-17 05.30.55.983000000 PM
LOST/UNREC,The phone was left on the table outside at our house and haven't been able to find it since. Assuming it was stolen.,112861964.0,Sprint,04-MAY-17 05.46.48.909000000 PM
LQDDMG,I fell as I ran from one assault on a lake and the screen does not work,112890860.0,Sprint,23-JUN-17 10.30.12.363000000 PM
CRCKSCRN,The screen is cracked from top to buttom,104000000000.0,Sprint,03-MAY-17 09.59.07.106000000 PM
LOST/UNREC,i lost in the park,107000000000.0,Sprint,06-JUN-17 12.05.18.942000000 PM
LQDDMG,Liquid detergent spilled on my phone,112867145.0,Sprint,06-JUN-17 05.12.51.479000000 AM
MLFUNC,Black screen. Will not turn on or charge,104000000000.0,Sprint,08-JUN-17 02.09.30.390000000 PM
LOST/UNREC,I lost my phone when I was leaving my house,112927807.0,Sprint,06-JUN-17 05.07.27.734000000 PM
LOST/UNREC,left it at a sprint store never received it back,104000000000.0,Sprint,06-JUN-17 03.17.57.525000000 PM
LQDDMG,dropped in toilet,112626236.0,Sprint,07-FEB-17 04.08.48.000000000 PM
LQDDMG,Was exposed to water. Not submerged.,107000000000.0,Sprint,06-JUN-17 03.36.54.306000000 PM
LQDDMG,liquid damage,103000000000.0,Sprint,20-APR-17 02.52.47.126000000 PM
STOLEN,They is stolen work is nba,103000000000.0,Sprint,23-JUN-17 11.56.58.945000000 PM
LOST/UNREC,i lost it at the mall,106000000000.0,Sprint,04-MAY-17 07.12.28.052000000 PM
LOST/UNREC,The detective took the phone and put it up for evidence.. they said I canít get it back,104000000000.0,Sprint,05-JUN-18 12.06.36.002000000 AM
LOST/UNREC,I lost it on the way home,105000000000.0,Sprint,06-JUN-17 11.55.15.199000000 PM
STOLEN,it got stolen in los angeles,110000000000.0,Sprint,23-JUN-17 10.22.52.499000000 PM
LOST/UNREC,Lost,104000000000.0,Sprint,06-JUN-17 04.53.27.891000000 PM
CRCKSCRN,dropped it.,112832956.0,Sprint,06-MAR-17 03.51.42.000000000 PM
STOLEN,I got lost on the beach,108000000000.0,Sprint,23-MAY-17 12.42.40.478000000 AM
STOLEN,in the mall,110880191.0,Sprint,06-JUN-17 06.12.27.742000000 PM
LOST/UNREC,Was lost when fedex left,103000000000.0,Sprint,07-JUN-17 05.12.33.734000000 PM
MLFUNC,My IPhone will not boot. It just stays stuck in recovery mode and iTunes cannot recover it. It has always been in an apple case with a screen protector,109000000000.0,Sprint,10-JUN-17 02.46.33.215000000 AM
