COVERED_EVENT_CODE,FAILURE_DESCRIPTIVE_TEXT,CUSTOMER_CASE_NBR,NAME,CREATED_DATE
UNRECOV,"I was on a Sea-Doo at the lake, and as I was riding my phone fell out of my pocket and is now at the bottom of the lake.",100000000000.0,Sprint,09-JUN-18 08.53.30.074000000 PM
LOST,i lost my device on thursday when i was at the ballpark,113049379.0,Sprint,24-JUN-17 01.03.39.227000000 AM
UNRECOV,Phone is lost in the woods on private property was asked no to return and when they looked they could not find it.,106000000000.0,Sprint,22-MAY-18 04.21.16.748000000 PM
CRCKSCRN,Someone threw Phone aĂąd screen is damaged you can't use phone for anything.,105000000000.0,Sprint,15-APR-17 05.33.09.323000000 PM
MLFUNC,will not turn on. Can't receive or make calls or anything,108000000000.0,Sprint,07-MAY-17 10.03.09.185000000 PM
CRCKSCRN,Dropped phone cracked screen...worked for a week after cracked screen now doesnt power up,108000000000.0,Sprint,26-APR-17 03.24.50.076000000 AM
LQDDMG,I fell in a creek at work,109000000000.0,Sprint,26-APR-17 01.21.21.724000000 AM
LOST,Tablet was left behind on the bus,102000000000.0,Sprint,28-MAR-17 05.30.15.394000000 AM
LQDDMG,Dropped the device in water by accident,101000000000.0,Sprint,16-MAY-17 04.09.44.773000000 PM
LOST,I lost my device at park,103000000000.0,Sprint,09-JUN-17 03.42.17.533000000 PM
LOST,I lost my phone at mall help,103000000000.0,Sprint,06-JUN-17 07.06.00.971000000 AM
LOST,This is one of my childrens phones. And they lost it.,103000000000.0,Sprint,08-MAY-17 01.33.49.734000000 AM
CRCKSCRN,Phone was dropped off of a car,103000000000.0,Sprint,17-APR-17 10.09.01.029000000 PM
OTHER,The front and back of the phone have separated and the battery is visible. The phone has not been dropped or water damaged.,109000000000.0,Sprint,15-MAY-17 09.59.40.924000000 PM
LOST,I lost my phone on the way home,103000000000.0,Sprint,23-JUN-17 10.22.20.481000000 PM
MLFUNC,"I can hear others clearly, but they reception on their end isn't clear",104000000000.0,Sprint,18-APR-17 04.00.38.676000000 PM
CRCKSCRN,Phone has dead pixels in photos that show as purple. Phones charge rarely hold an appropriate amount of time.,105000000000.0,Sprint,14-APR-17 08.27.59.358000000 PM
LQDDMG,Try to put into pocket fell and landed on a puddle,107000000000.0,Sprint,05-MAY-17 01.20.56.761000000 AM
LOST,i forget my device in the park,109000000000.0,Sprint,23-JUN-17 09.58.27.316000000 PM
CRCKSCRN,"Dropped, screen cracked and shows no signs of powering on",110000000000.0,Sprint,11-JUN-17 02.50.00.136000000 PM
CRCKSCRN,"The phone won't lock anymore and the volume won't arise up either. Also, the phone will automatically lock itself but sometimes it turn off random times when I'm using the phone. Another thing is some days the phone is half blacked from one side.",101000000000.0,Sprint,08-JUN-17 06.58.56.337000000 PM
MLFUNC,The phone shut down then restarted on its own and when it turned back on screen started flashing and when I hit the home button screen turns white green and purple and starts flashing,102000000000.0,Sprint,16-MAY-17 02.05.41.798000000 AM
OTHER,Dropped phone when out of case,100000000000.0,Sprint,18-APR-17 07.09.32.756000000 PM
MLFUNC,"Phone wouldn't hold a charge. Phone powered down, will not turn back on even when external power source is applied",108000000000.0,Sprint,08-JUN-17 01.07.21.704000000 PM
CRCKSCRN,Accidentally dropped phone while celebrating her sister's birthday.,107000000000.0,Sprint,17-APR-17 02.56.29.259000000 PM
CRCKSCRN,cracked screen,103000000000.0,Sprint,09-JUN-17 12.11.02.070000000 AM
LQDDMG,I dropped phone cracking screen which the phone would still function fine it what till I dropped it. Water .,111452924.0,Sprint,05-APR-17 11.28.29.557000000 AM
MLFUNC,"I was using it for mail and movies and in the middle of movie it just quit. tried to turn back on, and wouldn't come back, tried to charge and wouldn't charge. won't do anything.",103000000000.0,Sprint,18-MAY-17 02.13.04.378000000 AM
CRCKSCRN,Home button is cracked wont charge,107000000000.0,Sprint,07-JUN-17 09.41.26.715000000 PM
CRCKSCRN,can't see screen,113286480.0,Sprint,14-MAY-17 08.57.01.000000000 PM
OTHER,fell out of pocket on motorcycle,109000000000.0,Sprint,04-MAY-17 10.24.01.031000000 PM
UNRECOV,I was overseas using my device and I dropped it in the Ocean. It is lost forever.,107000000000.0,Sprint,15-JUN-18 12.31.45.351000000 AM
STOLEN,"hi, my cell phone crashed and the screen is broken I can not see anything.",102000000000.0,Sprint,17-MAY-17 11.38.07.749000000 PM
CRCKSCRN,Screen cracked want to replace another IPhone 7 Plus 128 Red,109000000000.0,Sprint,18-APR-17 07.35.02.297000000 PM
LOST,yesterday i dropped my phone in the streets,109000000000.0,Sprint,23-JUN-17 10.14.26.461000000 PM
CRCKSCRN,dropped the phone on concrete,100000000000.0,Sprint,19-APR-17 12.20.42.747000000 AM
